file,nit_cliente,cliente,fecha_file,tipo,operativo,comercial,fch__primera__fact__prov,unnamed:_8,fecha_arribo,fecha_zarpe,envio_facturar,fecha_de_factura,fecha_envio_cierre,fecha_cierre,estado
24IA019263          ,800116164                     ,TERMINAL DE CONTENEDORES DE CARTAGENA SA,2024-01-03 12:00:00.000,A,SHANE HUERTAS       ,MAIRA LORA,2024-01-22,,1900-01-02 12:00:00,2024-01-17 12:00:00,2024-01-19 10:10:32,2024-01-19 02:43:28,2024-04-18 09:20:33,2024-04-25,Cerrado
24IS019262          ,890900148                     ,COMPAÑIA GLOBAL DE PINTURAS S.A.S,2024-01-03 12:00:00.000,S,No especificado,ULS BOGOTA,2024-01-10,,2024-01-14 00:00:00,2023-12-09 12:00:00,2024-01-04 09:34:29,2024-01-10 10:16:05,2024-05-21 04:37:56,2024-05-30,Cerrado
24OM019258          ,900340642                     ,PRODUCTOS DE ASEO 1A LTDA,2024-01-03 12:00:00.000,M,No especificado,RUBY SALGADO,2024-01-15,,1900-01-02 12:00:00,2024-01-22 12:00:00,2024-01-19 08:16:19,2024-04-17 04:10:11,2024-09-09 05:38:15,2024-10-31,Cerrado
24OM019269          ,444444222                     ,ASA GLOBAL LOGISTIC S.A.C.,2024-01-03 12:00:00.000,M,ALEXANDER CARO      ,KARLA PATINO,2024-01-23,,1900-01-02 12:00:00,2024-01-19 12:00:00,2024-01-17 09:14:28,2024-01-23 01:55:49,2024-02-09 08:10:02,2024-02-29,Cerrado
24IM019266          ,901446843                     ,MCASSAB COLOMBIA S.A.S,2024-01-03 12:00:00.000,M,KAREN CASTRO        ,Evelyne Navarro Aconcha,2024-01-29,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-01-26 03:13:39,2024-02-01 08:26:00,2024-04-25 09:57:42,2024-04-26,Cerrado
24IM019270          ,901643609                     ,VIA ELEVADORES TG S.A.S,2024-01-03 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-10,,2023-12-29 00:00:00,1899-11-27 12:00:00,2024-05-21 10:09:47,2024-01-12 03:13:50,2024-05-21 10:09:47,2024-05-31,Cerrado
24IM019267          ,900434206                     ,COMERCIALIZADORA DE PRODUCTOS INDUSTRIALES SIGMA S.A.S.,2024-01-03 12:00:00.000,M,KAREN PINZON        ,ULS BOGOTA,2024-01-26,,2024-03-18 00:00:00,2024-01-20 12:00:00,2024-03-06 04:05:58,2024-03-07 10:55:50,2024-04-18 07:02:39,2024-04-26,Cerrado
24IA019265          ,444444236                     ,ULS MIAMI,2024-01-03 12:00:00.000,A,KAREN PINZON        ,ULS BOGOTA,2024-01-09,,1900-01-02 12:00:00,2024-01-06 12:00:00,2024-02-14 04:17:39,2024-01-18 09:46:50,2024-02-14 04:17:49,2024-02-27,Cerrado
24IA019265          ,444444236                     ,ULS MIAMI,2024-01-03 12:00:00.000,A,KAREN PINZON        ,No especificado,2024-01-09,,1900-01-02 12:00:00,2024-01-06 12:00:00,2024-02-14 04:17:39,2024-01-18 09:46:50,2024-02-14 04:17:49,2024-02-27,Cerrado
24IM019260          ,805022056                     ,SANTIAGO PLAZA S.A,2024-01-03 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-01-19,,2024-02-26 00:00:00,2024-01-17 12:00:00,2024-02-21 09:22:03,2024-02-26 10:31:16,2024-04-17 08:32:32,2024-06-20,Cerrado
24IM019260          ,805022056                     ,SANTIAGO PLAZA S.A,2024-01-03 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-01-19,,2024-02-26 00:00:00,2024-01-17 12:00:00,2024-02-21 09:22:03,2024-02-26 10:31:16,2024-04-17 08:32:32,2024-04-11,Cerrado
24IM019257          ,805004427                     ,AGLOMERADOS DE COLOMBIA S.A.S,2024-01-03 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-16,,2024-01-26 00:00:00,2023-12-27 12:00:00,2024-01-19 11:14:52,2024-03-01 11:32:28,2024-04-25 09:56:47,2024-04-26,Cerrado
24IM019257          ,805004427                     ,AGLOMERADOS DE COLOMBIA S.A.S,2024-01-03 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-16,,2024-01-26 00:00:00,2023-12-27 12:00:00,2024-01-19 11:14:52,2024-03-01 11:32:28,2024-04-25 09:56:47,2024-06-20,Cerrado
24OM019273          ,863549285                     ,AGL FREIGHT Y LOGISTICS LLC                                                                         ,2024-01-04 12:00:00.000,M,KAREN CASTRO        ,KARLA PATINO,2024-01-24,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-01-31 04:45:09,2024-02-01 11:03:35,2024-05-08 09:51:28,2024-05-27,Cerrado
24IM019275          ,830041488                     ,ALFA TRADING S.A.S.,2024-01-04 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-01-31,,2024-03-04 00:00:00,2024-01-20 12:00:00,2024-03-01 02:25:08,2024-04-23 11:16:30,2024-04-17 08:45:35,2024-04-12,Cerrado
24IM019279          ,901549203                     ,CENTRAL DE LAMINAS Y TRIPLEX S.A.S,2024-01-04 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-16,,2024-01-26 00:00:00,2023-12-27 12:00:00,2024-01-17 12:08:01,2024-01-22 10:33:29,2024-04-25 09:55:21,2024-04-26,Cerrado
24IT019278          ,901329757                     ,VV TECHNOLOGY SAS,2024-01-04 12:00:00.000,T,No especificado,KARLA PATINO,2024-01-26,,1900-01-02 12:00:00,2023-11-29 12:00:00,2024-02-24 10:48:55,2024-02-26 12:25:53,2025-02-12 01:00:20,2025-02-28,Cerrado
24OM019272          ,863549285                     ,AGL FREIGHT Y LOGISTICS LLC                                                                         ,2024-01-04 12:00:00.000,M,KAREN CASTRO        ,KARLA PATINO,2024-01-24,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-01-30 07:19:08,2024-01-31 10:44:27,2024-05-08 10:48:23,2024-05-27,Cerrado
24IM019277          ,900371896                     ,ITAL DESIGN SAS,2024-01-04 12:00:00.000,M,KAREN PINZON        ,DIANA AVELLANEDA,2024-02-08,,2024-03-04 00:00:00,2024-02-05 12:00:00,2024-03-04 03:55:49,2024-03-05 01:37:03,2024-04-18 07:05:58,2024-04-26,Cerrado
24OM019271          ,860001899                     ,CORPACERO S. A. S.,2024-01-04 12:00:00.000,M,No especificado,DIANA MARCELA RAMOS,2024-01-17,,1900-01-02 12:00:00,2024-01-16 12:00:00,2024-01-18 11:38:48,2024-01-19 02:12:29,2024-05-08 11:01:28,2024-06-20,Cerrado
24OM019271          ,860001899                     ,CORPACERO S. A. S.,2024-01-04 12:00:00.000,M,No especificado,DIANA MARCELA RAMOS,2024-01-17,,1900-01-02 12:00:00,2024-01-16 12:00:00,2024-01-18 11:38:48,2024-01-19 02:12:29,2024-05-08 11:01:28,2024-05-27,Cerrado
24IM019274          ,830041488                     ,ALFA TRADING S.A.S.,2024-01-04 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-07,,2024-02-21 00:00:00,2024-01-24 12:00:00,2024-02-16 09:14:20,2024-02-19 12:16:04,2024-04-17 08:19:43,2024-04-11,Cerrado
24IA019280          ,830054002                     ,NACIONAL DE ELECTRICOS H. H. LTDA.,2024-01-04 12:00:00.000,A,LEIDY CAMPOS        ,RUBY SALGADO,2024-01-05,,1900-01-02 12:00:00,2024-01-05 12:00:00,2024-01-05 09:31:32,2024-03-05 04:01:56,2024-01-17 07:35:51,2024-03-11,Cerrado
24IM019281          ,901275761                     ,CASA GROOMING SAS,2024-01-04 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-28,,1900-01-02 12:00:00,2024-01-29 12:00:00,2024-04-17 08:29:58,2024-02-23 03:04:25,2024-04-17 08:30:08,2024-04-12,Cerrado
24OM019282          ,444444222                     ,ASA GLOBAL LOGISTIC S.A.C.,2024-01-05 12:00:00.000,M,KAREN CASTRO        ,KARLA PATINO,,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-02-29 04:20:01,2024-03-01 11:36:12,2024-05-08 04:04:05,2024-05-27,Cerrado
24IM019292          ,817001528                     ,PAVCO DE OCCIDENTE SAS                                      ,2024-01-05 12:00:00.000,M,SHANE HUERTAS       ,DIANA MARCELA RAMOS,2024-02-09,,2024-02-21 00:00:00,2024-01-31 12:00:00,2024-02-15 04:14:14,2024-02-19 09:29:59,2024-04-18 09:52:01,2024-04-26,Cerrado
24IS019284          ,890904138                     ,AMTEX S.A.,2024-01-05 12:00:00.000,S,No especificado,SINDI SANCHEZ,2024-01-23,,2024-01-26 00:00:00,2023-12-16 12:00:00,2024-01-16 11:12:40,2024-01-22 09:37:07,2024-05-21 04:44:13,2024-05-30,Cerrado
24IM019287          ,901624746                     ,ACEROS D.C. S.A.S,2024-01-05 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-01-30,,2024-03-27 00:00:00,2024-02-23 12:00:00,2024-03-22 03:49:04,2024-03-26 10:09:21,2024-04-18 07:20:31,2024-04-26,Cerrado
24IM019285          ,890406520                     ,CELLUX COLOMBIANA SA,2024-01-05 12:00:00.000,M,SHANE HUERTAS       ,MAIRA LORA,2024-02-02,,2024-04-04 00:00:00,2024-02-02 12:00:00,2024-03-21 02:33:13,2024-03-22 10:24:56,2024-05-24 04:28:41,2024-05-31,Cerrado
24IM019285          ,890406520                     ,CELLUX COLOMBIANA SA,2024-01-05 12:00:00.000,M,SHANE HUERTAS       ,MAIRA LORA,2024-02-02,,2024-04-04 00:00:00,2024-02-02 12:00:00,2024-03-21 02:33:13,2024-03-22 10:24:56,2024-05-24 04:28:41,2024-06-20,Cerrado
24IM019295          ,830057739                     ,STRONG MACHINE S.A.S,2024-01-05 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-03-06,,1900-01-02 12:00:00,2024-02-11 12:00:00,2024-04-17 08:40:08,2024-03-01 02:07:30,2024-04-17 08:40:16,2024-04-12,Cerrado
24IM019290          ,800241068                     ,BIOEMPAK S.A.S,2024-01-05 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-02-01,,2024-02-22 00:00:00,2024-01-31 12:00:00,2024-02-16 02:21:14,2024-03-08 11:57:12,2024-04-29 09:05:41,2024-05-31,Cerrado
24IM019290          ,800241068                     ,BIOEMPAK S.A.S,2024-01-05 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-02-01,,2024-02-22 00:00:00,2024-01-31 12:00:00,2024-02-16 02:21:14,2024-03-08 11:57:12,2024-04-29 09:05:41,2024-05-31,Cerrado
24IA019294          ,830120314                     ,ALFIL SERVICES LTDA,2024-01-05 12:00:00.000,A,KAREN PINZON        ,ULS BOGOTA,2024-02-07,,1900-01-02 12:00:00,2024-02-01 12:00:00,2024-02-02 12:05:35,2024-02-05 02:33:48,2024-04-17 07:57:29,2024-04-09,Cerrado
24IM019293          ,817001528                     ,PAVCO DE OCCIDENTE SAS                                      ,2024-01-05 12:00:00.000,M,SHANE HUERTAS       ,DIANA MARCELA RAMOS,2024-02-07,,2024-02-21 00:00:00,2024-01-31 12:00:00,2024-02-15 04:20:14,2024-02-19 09:41:43,2024-04-18 09:52:52,2024-04-26,Cerrado
24IM019286          ,890900076                     ,CINE COLOMBIA S.A.S.,2024-01-05 12:00:00.000,M,KAREN PINZON        ,DIANA MARCELA RAMOS,2024-01-30,,2024-02-04 00:00:00,2024-01-17 12:00:00,2024-01-30 03:10:43,2024-02-05 10:13:31,2024-04-17 08:04:06,2024-04-12,Cerrado
24IM019291          ,860005050                     ,MEXICHEM COLOMBIA S A S,2024-01-05 12:00:00.000,M,SHANE HUERTAS       ,DIANA MARCELA RAMOS,2024-02-07,,2024-02-21 00:00:00,2024-01-31 12:00:00,2024-02-15 04:06:29,2024-02-19 09:20:35,2024-04-18 09:51:03,2024-04-26,Cerrado
24OM019283          ,444444222                     ,ASA GLOBAL LOGISTIC S.A.C.,2024-01-05 12:00:00.000,M,KAREN CASTRO        ,KARLA PATINO,,,1900-01-02 12:00:00,2024-02-03 12:00:00,2024-05-20 04:02:30,2024-02-08 10:17:11,2024-05-20 04:02:30,2024-05-27,Cerrado
24IM019297          ,901763153                     ,I Y E LOGISTICS SAS,2024-01-08 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-16,,2024-01-26 00:00:00,2023-12-23 12:00:00,2024-01-17 12:03:58,2024-03-08 12:02:58,2024-04-25 09:52:56,2024-04-26,Cerrado
24IM019297          ,901763153                     ,I Y E LOGISTICS SAS,2024-01-08 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-16,,2024-01-26 00:00:00,2023-12-23 12:00:00,2024-01-17 12:03:58,2024-03-08 12:02:58,2024-04-25 09:52:56,2024-06-20,Cerrado
24IM019298          ,900415570                     ,CM Y A S.A.S.,2024-01-08 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-02-14,,2024-02-15 00:00:00,1900-01-05 12:00:00,2024-09-09 05:42:01,2024-02-12 02:40:46,2024-09-09 05:42:01,2024-09-09,Cerrado
24IM019299          ,860026895                     ,ITALCOL S.A.,2024-01-08 12:00:00.000,M,KAREN CASTRO        ,SINDI SANCHEZ,2024-01-29,,2024-02-01 00:00:00,1900-01-01 12:00:00,2024-01-26 03:17:59,2024-02-01 10:09:56,2024-04-25 10:05:18,2024-04-26,Cerrado
24IM019296          ,901300442                     ,DCORA SAS,2024-01-08 12:00:00.000,M,KAREN PINZON        ,ULS BOGOTA,2024-01-19,,2024-02-26 00:00:00,2024-01-17 12:00:00,2024-02-21 09:20:18,2024-03-21 12:30:15,2024-04-17 08:35:06,2024-04-12,Cerrado
24IM019321          ,901159973                     ,OVERSEAS COLOMBIA SAS,2024-01-09 00:00:00.000,M,SHANE HUERTAS       ,ULS BOGOTA,2024-02-06,,2024-01-04 00:00:00,2024-01-28 12:00:00,2024-04-02 09:31:39,2024-04-02 03:26:28,2024-04-29 01:43:09,2024-05-31,Cerrado
24IS019312          ,860508470                     ,PREFLEX S A S,2024-01-09 00:00:00.000,S,No especificado,SINDI SANCHEZ,2024-02-23,,2024-02-26 00:00:00,2024-01-06 12:00:00,2024-02-13 11:14:41,2024-02-22 03:34:24,2024-07-30 02:48:41,2024-08-31,Cerrado
24IS019311          ,890904138                     ,AMTEX S.A.,2024-01-09 00:00:00.000,S,No especificado,SINDI SANCHEZ,2024-02-05,,2024-02-10 00:00:00,2024-01-01 12:00:00,2024-02-01 08:26:32,2024-02-05 08:21:15,2024-07-30 02:31:40,2024-08-31,Cerrado
24IS019318          ,900447906                     ,KINGSPAN PANELES AISLADOS S.A.S,2024-01-09 00:00:00.000,S,No especificado,ULS BOGOTA,2024-01-11,,2024-01-16 00:00:00,2023-12-16 12:00:00,2024-01-12 01:45:27,2024-04-03 11:24:12,2024-05-21 04:40:04,2024-05-30,Cerrado
24IT019319          ,901329757                     ,VV TECHNOLOGY SAS,2024-01-09 12:00:00.000,T,No especificado,KARLA PATINO,2024-01-26,,1900-01-02 12:00:00,1900-01-01 12:00:00,1900-01-01 12:00:00,2024-12-26 09:51:16,2025-02-12 01:02:16,2025-05-08,Cerrado
24IM019300          ,860005050                     ,MEXICHEM COLOMBIA S A S,2024-01-09 12:00:00.000,M,SHANE HUERTAS       ,DIANA MARCELA RAMOS,2024-01-23,,2024-02-17 00:00:00,2024-01-18 12:00:00,2024-02-12 10:38:46,2024-02-14 12:58:45,2024-04-18 09:49:39,2024-04-26,Cerrado
24IM019309          ,830057739                     ,STRONG MACHINE S.A.S,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-01-18,,2024-02-03 00:00:00,2024-01-17 12:00:00,2024-04-17 07:59:37,2024-02-01 08:30:24,2024-04-17 07:59:46,2024-04-15,Cerrado
24IT019315          ,901329757                     ,VV TECHNOLOGY SAS,2024-01-09 12:00:00.000,T,No especificado,KARLA PATINO,2024-03-04,,1900-01-02 12:00:00,2024-01-12 12:00:00,2024-02-24 10:15:07,2024-02-26 12:10:38,2025-02-12 01:09:44,2025-02-28,Cerrado
24IM019302          ,900807002                     ,EMOTION GROUP SAS,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-02-13,,2024-02-17 00:00:00,2023-12-22 12:00:00,2024-04-29 07:34:27,2024-02-07 11:25:12,2024-04-29 07:34:33,2024-04-29,Cerrado
24IM019322          ,800116164                     ,TERMINAL DE CONTENEDORES DE CARTAGENA SA,2024-01-09 12:00:00.000,M,SHANE HUERTAS       ,MAIRA LORA,2024-02-23,,1900-01-02 12:00:00,2024-02-08 12:00:00,2024-02-19 08:43:58,2024-02-23 02:57:42,2024-04-18 09:55:14,2024-04-26,Cerrado
24IM019322          ,800116164                     ,TERMINAL DE CONTENEDORES DE CARTAGENA SA,2024-01-09 12:00:00.000,M,SHANE HUERTAS       ,MAIRA LORA,2024-02-23,,1900-01-02 12:00:00,2024-02-08 12:00:00,2024-02-19 08:43:58,2024-02-23 02:57:42,2024-04-18 09:55:14,2024-04-26,Cerrado
24IM019327          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-04-01 00:00:00,2024-02-05 12:00:00,2024-03-26 03:50:24,2024-04-01 08:08:13,2024-06-14 10:26:00,2024-06-20,Cerrado
24IM019327          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-04-01 00:00:00,2024-02-05 12:00:00,2024-03-26 03:50:24,2024-04-01 08:08:13,2024-06-14 10:26:00,2024-06-20,Cerrado
24IM019308          ,901600810                     ,HEAVY CARGO S.A.S,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,No especificado,2024-01-09,,2024-01-10 00:00:00,2023-12-10 12:00:00,2024-01-09 12:10:25,2024-01-10 10:10:30,2024-04-25 09:35:50,2024-04-26,Cerrado
24IM019323          ,901549203                     ,CENTRAL DE LAMINAS Y TRIPLEX S.A.S,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-30,,2024-02-07 00:00:00,2024-01-02 12:00:00,2024-02-02 12:13:05,2024-02-05 03:57:03,2024-04-29 07:26:33,2024-04-29,Cerrado
24IM019325          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-03-04 00:00:00,2024-02-05 12:00:00,2024-03-01 02:26:58,2024-03-19 12:05:32,2024-04-18 06:57:08,2024-04-26,Cerrado
24IM019325          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-03-04 00:00:00,2024-02-05 12:00:00,2024-03-01 02:26:58,2024-03-19 12:05:32,2024-04-18 06:57:08,2024-04-26,Cerrado
24IM019320          ,901159973                     ,OVERSEAS COLOMBIA SAS,2024-01-09 12:00:00.000,M,SHANE HUERTAS       ,ULS BOGOTA,2024-01-18,,2024-02-17 00:00:00,2024-01-15 12:00:00,2024-02-16 01:05:48,2024-02-19 04:55:41,2024-04-18 09:48:40,2024-04-26,Cerrado
24IS019314          ,890908649                     ,SUN CHEMICAL COLOMBIA S.A.S.,2024-01-09 12:00:00.000,S,No especificado,DIANA MARCELA RAMOS,2024-02-09,,2024-02-15 00:00:00,2024-01-04 12:00:00,2024-02-01 09:10:09,2024-02-12 09:25:11,2024-07-30 02:35:41,2024-08-31,Cerrado
24IM019303          ,900807002                     ,EMOTION GROUP SAS,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-02-13,,2024-02-17 00:00:00,2023-12-22 12:00:00,2024-02-07 12:15:25,2024-02-08 09:17:10,2024-04-29 07:33:48,2024-04-29,Cerrado
24IS019310          ,890904138                     ,AMTEX S.A.,2024-01-09 12:00:00.000,S,No especificado,SINDI SANCHEZ,2024-02-05,,2024-02-07 00:00:00,2024-01-01 12:00:00,2024-02-01 07:52:45,2024-02-08 09:35:50,2024-07-30 02:29:26,2024-08-28,Cerrado
24OM019324          ,890906397                     ,VIBRANTZ COLOMBIA SAS,2024-01-09 12:00:00.000,M,ALEXANDER CARO      ,ULS BOGOTA,2024-01-26,,1900-01-02 12:00:00,2024-01-25 12:00:00,2024-01-26 08:30:50,2024-01-26 10:29:29,2024-02-07 08:12:57,2024-02-29,Cerrado
24IM019304          ,900807002                     ,EMOTION GROUP SAS,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-29,,2024-02-01 00:00:00,1900-01-01 12:00:00,2024-01-26 03:20:43,2024-01-29 11:45:57,2024-04-25 09:59:38,2024-04-26,Cerrado
24IM019305          ,900807002                     ,EMOTION GROUP SAS,2024-01-09 12:00:00.000,M,KAREN CASTRO        ,ULS BOGOTA,2024-01-29,,2024-02-01 00:00:00,2024-01-04 12:00:00,2024-01-26 03:42:13,2024-01-30 08:58:03,2024-04-25 09:58:46,2024-04-26,Cerrado
24IS019317          ,900305492                     ,A Y G PROCESOS ACRILICOS S.A.S,2024-01-09 12:00:00.000,S,No especificado,SINDI SANCHEZ,2024-01-23,,2024-01-25 00:00:00,2024-01-27 12:00:00,2024-01-16 02:06:45,2024-05-17 11:09:15,2024-05-21 05:01:03,2024-05-30,Cerrado
24IM019306          ,900076919                     ,KOTRACO S.A.S,2024-01-09 12:00:00.000,M,KAREN PINZON        ,JESSICA CUBILLOS,2024-01-24,,2024-02-26 00:00:00,2024-01-18 12:00:00,2024-02-21 09:30:30,2024-02-22 04:06:24,2024-04-17 08:33:46,2024-04-12,Cerrado
24IM019326          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-04-01 00:00:00,2024-02-05 12:00:00,2024-03-26 03:54:32,2024-04-01 08:11:31,2024-06-14 10:25:11,2024-06-20,Cerrado
24IM019326          ,900614448                     ,COMERCIALIZADORA Y DISTRIBUIDORA 714 SEVEN ONE FOUR S.A.S.,2024-01-09 12:00:00.000,M,KAREN PINZON        ,RUBY SALGADO,2024-02-20,,2024-04-01 00:00:00,2024-02-05 12:00:00,2024-03-26 03:54:32,2024-04-01 08:11:31,2024-06-14 10:25:11,2024-06-20,Cerrado
24IS019316          ,811012912                     ,METAL ACRILATO S.A.,2024-01-09 12:00:00.000,S,No especificado,ULS BOGOTA,2024-01-23,,2024-01-25 00:00:00,2024-01-27 12:00:00,2024-01-16 01:44:46,2024-01-24 02:02:00,2024-05-21 04:58:37,2024-05-30,Cerrado
